REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
TEA,1996,9.105743247,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,1996,1.742798751,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,1996,1.80955321,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ECA,1996,3.821126264,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (excluding high income),GDP growth (annual %)
TEC,1996,0.98511873,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (IDA & IBRD),GDP growth (annual %)
EUU,1996,1.916071445,WB_WDI,P1Y,PU,Annual,European Union,GDP growth (annual %)
FCS,1996,2.911802442,WB_WDI,P1Y,PU,Annual,Fragile and conflict affected situations,GDP growth (annual %)
ECA,1999,-1.134146381,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (excluding high income),GDP growth (annual %)
TEC,1999,2.491027751,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (IDA & IBRD),GDP growth (annual %)
EUU,1999,3.003747164,WB_WDI,P1Y,PU,Annual,European Union,GDP growth (annual %)
FCS,1999,1.925811086,WB_WDI,P1Y,PU,Annual,Fragile and conflict affected situations,GDP growth (annual %)
HPC,1999,3.471425022,WB_WDI,P1Y,PU,Annual,Heavily indebted poor countries (HIPC),GDP growth (annual %)
HIC,1999,3.575999718,WB_WDI,P1Y,PU,Annual,High income,GDP growth (annual %)
IBD,1999,3.695668632,WB_WDI,P1Y,PU,Annual,IBRD only,GDP growth (annual %)
IBT,1999,3.638514356,WB_WDI,P1Y,PU,Annual,IDA & IBRD total,GDP growth (annual %)
IDB,1999,2.0296876,WB_WDI,P1Y,PU,Annual,IDA blend,GDP growth (annual %)
IDX,1999,4.101941041,WB_WDI,P1Y,PU,Annual,IDA only,GDP growth (annual %)
IDA,1999,3.025878545,WB_WDI,P1Y,PU,Annual,IDA total,GDP growth (annual %)
LTE,1999,4.663627349,WB_WDI,P1Y,PU,Annual,Late-demographic dividend,GDP growth (annual %)
LCN,1999,0.534894062,WB_WDI,P1Y,PU,Annual,Latin America & Caribbean,GDP growth (annual %)
LAC,1999,0.533034738,WB_WDI,P1Y,PU,Annual,Latin America & Caribbean (excluding high income),GDP growth (annual %)
TLA,1999,0.305038295,WB_WDI,P1Y,PU,Annual,Latin America & Caribbean (IDA & IBRD),GDP growth (annual %)
LDC,1999,4.018631044,WB_WDI,P1Y,PU,Annual,Least developed countries: UN classification,GDP growth (annual %)
LMY,1999,3.688412164,WB_WDI,P1Y,PU,Annual,Low & middle income,GDP growth (annual %)
TON,2001,1.492481255,WB_WDI,P1Y,PU,Annual,Tonga,GDP growth (annual %)
TTO,2001,4.168523982,WB_WDI,P1Y,PU,Annual,Trinidad and Tobago,GDP growth (annual %)
TUN,2001,3.796271662,WB_WDI,P1Y,PU,Annual,Tunisia,GDP growth (annual %)
TUR,2001,-5.459408386,WB_WDI,P1Y,PU,Annual,Türkiye,GDP growth (annual %)
TKM,2001,4.343845714,WB_WDI,P1Y,PU,Annual,Turkmenistan,GDP growth (annual %)
TUV,2001,0,WB_WDI,P1Y,PU,Annual,Tuvalu,GDP growth (annual %)
UGA,2001,5.183661125,WB_WDI,P1Y,PU,Annual,Uganda,GDP growth (annual %)
UKR,2001,8.800000004,WB_WDI,P1Y,PU,Annual,Ukraine,GDP growth (annual %)
ARE,2001,1.399085037,WB_WDI,P1Y,PU,Annual,United Arab Emirates,GDP growth (annual %)
GBR,2001,2.391022296,WB_WDI,P1Y,PU,Annual,United Kingdom,GDP growth (annual %)
USA,2001,0.955538348,WB_WDI,P1Y,PU,Annual,United States,GDP growth (annual %)
URY,2001,-3.844129959,WB_WDI,P1Y,PU,Annual,Uruguay,GDP growth (annual %)
UZB,2001,4.16383825,WB_WDI,P1Y,PU,Annual,Uzbekistan,GDP growth (annual %)
FSM,2020,-1.672941176,WB_WDI,P1Y,PU,Annual,"Micronesia, Fed. Sts.",GDP growth (annual %)
MDA,2020,-8.27597832,WB_WDI,P1Y,PU,Annual,Moldova,GDP growth (annual %)
MCO,2020,-13.23910483,WB_WDI,P1Y,PU,Annual,Monaco,GDP growth (annual %)
MNG,2020,-4.557751976,WB_WDI,P1Y,PU,Annual,Mongolia,GDP growth (annual %)
MNE,2020,-14.9926187,WB_WDI,P1Y,PU,Annual,Montenegro,GDP growth (annual %)
MAR,2020,-7.178207442,WB_WDI,P1Y,PU,Annual,Morocco,GDP growth (annual %)
MOZ,2020,-1.2195225,WB_WDI,P1Y,PU,Annual,Mozambique,GDP growth (annual %)
MMR,2020,-9.04834718,WB_WDI,P1Y,PU,Annual,Myanmar,GDP growth (annual %)
NAM,2020,-8.101402014,WB_WDI,P1Y,PU,Annual,Namibia,GDP growth (annual %)
NRU,2020,1.57480315,WB_WDI,P1Y,PU,Annual,Nauru,GDP growth (annual %)
NPL,2020,-2.369620629,WB_WDI,P1Y,PU,Annual,Nepal,GDP growth (annual %)
NLD,2020,-3.867953338,WB_WDI,P1Y,PU,Annual,Netherlands,GDP growth (annual %)
TZA,2018,5.502675994,WB_WDI,P1Y,PU,Annual,Tanzania,GDP growth (annual %)
THA,2018,4.222870287,WB_WDI,P1Y,PU,Annual,Thailand,GDP growth (annual %)
TLS,2018,-0.466502372,WB_WDI,P1Y,PU,Annual,Timor-Leste,GDP growth (annual %)
TGO,2018,4.795183331,WB_WDI,P1Y,PU,Annual,Togo,GDP growth (annual %)
TON,2018,0.527827266,WB_WDI,P1Y,PU,Annual,Tonga,GDP growth (annual %)
TTO,2018,-0.945449701,WB_WDI,P1Y,PU,Annual,Trinidad and Tobago,GDP growth (annual %)
TUN,2018,2.606969654,WB_WDI,P1Y,PU,Annual,Tunisia,GDP growth (annual %)
TUR,2018,3.468153061,WB_WDI,P1Y,PU,Annual,Türkiye,GDP growth (annual %)
TKM,2018,6.199999941,WB_WDI,P1Y,PU,Annual,Turkmenistan,GDP growth (annual %)
TCA,2018,6.752648452,WB_WDI,P1Y,PU,Annual,Turks and Caicos Islands,GDP growth (annual %)
TUV,2018,1.387283842,WB_WDI,P1Y,PU,Annual,Tuvalu,GDP growth (annual %)
UGA,2018,6.303923783,WB_WDI,P1Y,PU,Annual,Uganda,GDP growth (annual %)
DZA,2006,2.899999999,WB_WDI,P1Y,PU,Annual,Algeria,GDP growth (annual %)
ASM,2006,-4.098360656,WB_WDI,P1Y,PU,Annual,American Samoa,GDP growth (annual %)
AND,2006,4.808688699,WB_WDI,P1Y,PU,Annual,Andorra,GDP growth (annual %)
AGO,2006,11.84181788,WB_WDI,P1Y,PU,Annual,Angola,GDP growth (annual %)
ATG,2006,12.70814749,WB_WDI,P1Y,PU,Annual,Antigua and Barbuda,GDP growth (annual %)
ARG,2006,8.0471515,WB_WDI,P1Y,PU,Annual,Argentina,GDP growth (annual %)
ARM,2006,13.2,WB_WDI,P1Y,PU,Annual,Armenia,GDP growth (annual %)
ABW,2006,1.127411464,WB_WDI,P1Y,PU,Annual,Aruba,GDP growth (annual %)
AUS,2006,2.770926174,WB_WDI,P1Y,PU,Annual,Australia,GDP growth (annual %)
AUT,2006,3.269336015,WB_WDI,P1Y,PU,Annual,Austria,GDP growth (annual %)
AZE,2006,34.46620962,WB_WDI,P1Y,PU,Annual,Azerbaijan,GDP growth (annual %)
BHS,2006,2.516592217,WB_WDI,P1Y,PU,Annual,"Bahamas, The",GDP growth (annual %)
BHR,2006,6.46699952,WB_WDI,P1Y,PU,Annual,Bahrain,GDP growth (annual %)
BGD,2006,6.671904986,WB_WDI,P1Y,PU,Annual,Bangladesh,GDP growth (annual %)
JPN,2008,-1.224289001,WB_WDI,P1Y,PU,Annual,Japan,GDP growth (annual %)
JOR,2008,7.220386373,WB_WDI,P1Y,PU,Annual,Jordan,GDP growth (annual %)
KAZ,2008,3.3,WB_WDI,P1Y,PU,Annual,Kazakhstan,GDP growth (annual %)
KEN,2008,0.232282745,WB_WDI,P1Y,PU,Annual,Kenya,GDP growth (annual %)
KIR,2008,-2.984731216,WB_WDI,P1Y,PU,Annual,Kiribati,GDP growth (annual %)
KOR,2008,3.004404517,WB_WDI,P1Y,PU,Annual,"Korea, Rep.",GDP growth (annual %)
KWT,2008,2.479756943,WB_WDI,P1Y,PU,Annual,Kuwait,GDP growth (annual %)
KGZ,2008,8.401616049,WB_WDI,P1Y,PU,Annual,Kyrgyz Republic,GDP growth (annual %)
LAO,2008,7.824902763,WB_WDI,P1Y,PU,Annual,Lao PDR,GDP growth (annual %)
LVA,2008,-3.388716658,WB_WDI,P1Y,PU,Annual,Latvia,GDP growth (annual %)
BWA,2009,-14.14423462,WB_WDI,P1Y,PU,Annual,Botswana,GDP growth (annual %)
BRA,2009,-0.125812003,WB_WDI,P1Y,PU,Annual,Brazil,GDP growth (annual %)
BRN,2009,-1.900253672,WB_WDI,P1Y,PU,Annual,Brunei Darussalam,GDP growth (annual %)
BGR,2009,-3.347141497,WB_WDI,P1Y,PU,Annual,Bulgaria,GDP growth (annual %)
BFA,2009,2.961950859,WB_WDI,P1Y,PU,Annual,Burkina Faso,GDP growth (annual %)
BDI,2009,3.787075831,WB_WDI,P1Y,PU,Annual,Burundi,GDP growth (annual %)
CPV,2009,-1.503586724,WB_WDI,P1Y,PU,Annual,Cabo Verde,GDP growth (annual %)
KHM,2009,4.074778506,WB_WDI,P1Y,PU,Annual,Cambodia,GDP growth (annual %)
CMR,2009,2.579251777,WB_WDI,P1Y,PU,Annual,Cameroon,GDP growth (annual %)
CAN,2009,-2.915086216,WB_WDI,P1Y,PU,Annual,Canada,GDP growth (annual %)
CYM,2009,-7.200482782,WB_WDI,P1Y,PU,Annual,Cayman Islands,GDP growth (annual %)
SAU,2018,3.22695089,WB_WDI,P1Y,PU,Annual,Saudi Arabia,GDP growth (annual %)
SEN,2018,6.209241034,WB_WDI,P1Y,PU,Annual,Senegal,GDP growth (annual %)
SRB,2018,4.649350355,WB_WDI,P1Y,PU,Annual,Serbia,GDP growth (annual %)
SYC,2018,4.939472723,WB_WDI,P1Y,PU,Annual,Seychelles,GDP growth (annual %)
SLE,2018,2.893856412,WB_WDI,P1Y,PU,Annual,Sierra Leone,GDP growth (annual %)
SGP,2018,3.451975966,WB_WDI,P1Y,PU,Annual,Singapore,GDP growth (annual %)
SXM,2018,-6.856982992,WB_WDI,P1Y,PU,Annual,Sint Maarten (Dutch part),GDP growth (annual %)
SVK,2018,4.062119819,WB_WDI,P1Y,PU,Annual,Slovak Republic,GDP growth (annual %)
SVN,2018,4.379083473,WB_WDI,P1Y,PU,Annual,Slovenia,GDP growth (annual %)
SLB,2018,2.745852448,WB_WDI,P1Y,PU,Annual,Solomon Islands,GDP growth (annual %)
SOM,2018,2.054315073,WB_WDI,P1Y,PU,Annual,"Somalia, Federal Republic of",GDP growth (annual %)
ZAF,2018,1.556783847,WB_WDI,P1Y,PU,Annual,South Africa,GDP growth (annual %)
CHN,2021,8.570085132,WB_WDI,P1Y,PU,Annual,China,GDP growth (annual %)
COL,2021,10.80119819,WB_WDI,P1Y,PU,Annual,Colombia,GDP growth (annual %)
COM,2021,2.000192118,WB_WDI,P1Y,PU,Annual,Comoros,GDP growth (annual %)
COD,2021,6.429610056,WB_WDI,P1Y,PU,Annual,"Congo, Dem. Rep.",GDP growth (annual %)
COG,2021,1.01507037,WB_WDI,P1Y,PU,Annual,"Congo, Rep.",GDP growth (annual %)
CRI,2021,7.935762247,WB_WDI,P1Y,PU,Annual,Costa Rica,GDP growth (annual %)
CIV,2021,7.063329102,WB_WDI,P1Y,PU,Annual,Côte d’Ivoire,GDP growth (annual %)
HRV,2021,12.63221904,WB_WDI,P1Y,PU,Annual,Croatia,GDP growth (annual %)
CUB,2021,1.254487357,WB_WDI,P1Y,PU,Annual,Cuba,GDP growth (annual %)
CUW,2021,4.183711931,WB_WDI,P1Y,PU,Annual,Curaçao,GDP growth (annual %)
CYP,2021,11.39755908,WB_WDI,P1Y,PU,Annual,Cyprus,GDP growth (annual %)
ALB,2018,3.671419281,WB_WDI,P1Y,PU,Annual,Albania,GDP growth (annual %)
DZA,2018,1.400000001,WB_WDI,P1Y,PU,Annual,Algeria,GDP growth (annual %)
ASM,2018,2.671118531,WB_WDI,P1Y,PU,Annual,American Samoa,GDP growth (annual %)
AND,2018,1.58876549,WB_WDI,P1Y,PU,Annual,Andorra,GDP growth (annual %)
AGO,2018,-0.594411227,WB_WDI,P1Y,PU,Annual,Angola,GDP growth (annual %)
ATG,2018,6.712004872,WB_WDI,P1Y,PU,Annual,Antigua and Barbuda,GDP growth (annual %)
ARG,2018,-2.617396463,WB_WDI,P1Y,PU,Annual,Argentina,GDP growth (annual %)
ARM,2018,5.2,WB_WDI,P1Y,PU,Annual,Armenia,GDP growth (annual %)
ABW,2018,3.212471119,WB_WDI,P1Y,PU,Annual,Aruba,GDP growth (annual %)
AUS,2018,2.874170395,WB_WDI,P1Y,PU,Annual,Australia,GDP growth (annual %)
AUT,2018,2.484221141,WB_WDI,P1Y,PU,Annual,Austria,GDP growth (annual %)
AZE,2018,1.500401672,WB_WDI,P1Y,PU,Annual,Azerbaijan,GDP growth (annual %)
BHS,2018,2.397955108,WB_WDI,P1Y,PU,Annual,"Bahamas, The",GDP growth (annual %)
SLB,1999,-0.485730728,WB_WDI,P1Y,PU,Annual,Solomon Islands,GDP growth (annual %)
SOM,1999,7.318295504,WB_WDI,P1Y,PU,Annual,"Somalia, Federal Republic of",GDP growth (annual %)
ZAF,1999,2.399999997,WB_WDI,P1Y,PU,Annual,South Africa,GDP growth (annual %)
ESP,1999,4.408865453,WB_WDI,P1Y,PU,Annual,Spain,GDP growth (annual %)
LKA,1999,4.300540498,WB_WDI,P1Y,PU,Annual,Sri Lanka,GDP growth (annual %)
KNA,1999,3.219886422,WB_WDI,P1Y,PU,Annual,St. Kitts and Nevis,GDP growth (annual %)
LCA,1999,2.670603511,WB_WDI,P1Y,PU,Annual,St. Lucia,GDP growth (annual %)
VCT,1999,2.710310713,WB_WDI,P1Y,PU,Annual,St. Vincent and the Grenadines,GDP growth (annual %)
SDN,1999,3.104095615,WB_WDI,P1Y,PU,Annual,Sudan,GDP growth (annual %)
SUR,1999,-1.40000047,WB_WDI,P1Y,PU,Annual,Suriname,GDP growth (annual %)
SWE,1999,4.201119298,WB_WDI,P1Y,PU,Annual,Sweden,GDP growth (annual %)
CHE,1999,1.662701049,WB_WDI,P1Y,PU,Annual,Switzerland,GDP growth (annual %)
SYR,1999,-3.553449871,WB_WDI,P1Y,PU,Annual,Syrian Arab Republic,GDP growth (annual %)
TJK,1999,3.699550717,WB_WDI,P1Y,PU,Annual,Tajikistan,GDP growth (annual %)
TZA,1999,4.863863754,WB_WDI,P1Y,PU,Annual,Tanzania,GDP growth (annual %)
BGD,1999,4.670156369,WB_WDI,P1Y,PU,Annual,Bangladesh,GDP growth (annual %)
BRB,1999,0.334656057,WB_WDI,P1Y,PU,Annual,Barbados,GDP growth (annual %)
BLR,1999,3.399999204,WB_WDI,P1Y,PU,Annual,Belarus,GDP growth (annual %)
BEL,1999,3.542717988,WB_WDI,P1Y,PU,Annual,Belgium,GDP growth (annual %)
BLZ,1999,9.423194715,WB_WDI,P1Y,PU,Annual,Belize,GDP growth (annual %)
BEN,1999,5.341449372,WB_WDI,P1Y,PU,Annual,Benin,GDP growth (annual %)
BMU,1999,3.38264702,WB_WDI,P1Y,PU,Annual,Bermuda,GDP growth (annual %)
BTN,1999,7.983971794,WB_WDI,P1Y,PU,Annual,Bhutan,GDP growth (annual %)
BOL,1999,0.426885423,WB_WDI,P1Y,PU,Annual,Bolivia,GDP growth (annual %)
BIH,1999,9.521570186,WB_WDI,P1Y,PU,Annual,Bosnia and Herzegovina,GDP growth (annual %)
BWA,1999,9.667240703,WB_WDI,P1Y,PU,Annual,Botswana,GDP growth (annual %)
BRA,1999,0.467937567,WB_WDI,P1Y,PU,Annual,Brazil,GDP growth (annual %)
BRN,1999,4.260722163,WB_WDI,P1Y,PU,Annual,Brunei Darussalam,GDP growth (annual %)
BGR,1999,-8.396090956,WB_WDI,P1Y,PU,Annual,Bulgaria,GDP growth (annual %)
BFA,1999,7.395237801,WB_WDI,P1Y,PU,Annual,Burkina Faso,GDP growth (annual %)
AFE,1995,4.354617691,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,1995,1.851636892,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,1995,2.797174175,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,1995,3.082946529,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,1995,5.711524566,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,1995,2.528411993,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,1995,5.717054195,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,1995,9.93684679,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,1995,9.936158392,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,1995,2.46938802,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,1995,2.323511512,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ECA,1995,0.956432561,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (excluding high income),GDP growth (annual %)
TEC,1995,-0.031396293,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (IDA & IBRD),GDP growth (annual %)
EUU,1995,2.724680029,WB_WDI,P1Y,PU,Annual,European Union,GDP growth (annual %)
FCS,1995,0.245982434,WB_WDI,P1Y,PU,Annual,Fragile and conflict affected situations,GDP growth (annual %)
HPC,1995,5.204008663,WB_WDI,P1Y,PU,Annual,Heavily indebted poor countries (HIPC),GDP growth (annual %)
HIC,1995,2.795149104,WB_WDI,P1Y,PU,Annual,High income,GDP growth (annual %)
IBD,1995,4.052089955,WB_WDI,P1Y,PU,Annual,IBRD only,GDP growth (annual %)
IBT,1995,4.016577282,WB_WDI,P1Y,PU,Annual,IDA & IBRD total,GDP growth (annual %)
LAO,2018,6.247960008,WB_WDI,P1Y,PU,Annual,Lao PDR,GDP growth (annual %)
LVA,2018,4.309712863,WB_WDI,P1Y,PU,Annual,Latvia,GDP growth (annual %)
LBN,2018,-1.884705756,WB_WDI,P1Y,PU,Annual,Lebanon,GDP growth (annual %)
LSO,2018,-1.480633158,WB_WDI,P1Y,PU,Annual,Lesotho,GDP growth (annual %)
LBR,2018,1.157575122,WB_WDI,P1Y,PU,Annual,Liberia,GDP growth (annual %)
LBY,2018,7.941367853,WB_WDI,P1Y,PU,Annual,Libya,GDP growth (annual %)
LTU,2018,4.918367801,WB_WDI,P1Y,PU,Annual,Lithuania,GDP growth (annual %)
LUX,2018,1.611295613,WB_WDI,P1Y,PU,Annual,Luxembourg,GDP growth (annual %)
MAC,2018,6.359170306,WB_WDI,P1Y,PU,Annual,"Macao SAR, China",GDP growth (annual %)
MDG,2018,3.194356517,WB_WDI,P1Y,PU,Annual,Madagascar,GDP growth (annual %)
MWI,2018,4.353564716,WB_WDI,P1Y,PU,Annual,Malawi,GDP growth (annual %)
DEU,2017,2.797906721,WB_WDI,P1Y,PU,Annual,Germany,GDP growth (annual %)
GHA,2017,8.128894881,WB_WDI,P1Y,PU,Annual,Ghana,GDP growth (annual %)
GRC,2017,1.473124727,WB_WDI,P1Y,PU,Annual,Greece,GDP growth (annual %)
GRL,2017,0.052728183,WB_WDI,P1Y,PU,Annual,Greenland,GDP growth (annual %)
GRD,2017,4.438675669,WB_WDI,P1Y,PU,Annual,Grenada,GDP growth (annual %)
GUM,2017,0.890099909,WB_WDI,P1Y,PU,Annual,Guam,GDP growth (annual %)
GTM,2017,3.079851269,WB_WDI,P1Y,PU,Annual,Guatemala,GDP growth (annual %)
GIN,2017,10.30000534,WB_WDI,P1Y,PU,Annual,Guinea,GDP growth (annual %)
GNB,2017,4.663679439,WB_WDI,P1Y,PU,Annual,Guinea-Bissau,GDP growth (annual %)
GUY,2017,3.734491546,WB_WDI,P1Y,PU,Annual,Guyana,GDP growth (annual %)
HTI,2017,2.510271345,WB_WDI,P1Y,PU,Annual,Haiti,GDP growth (annual %)
HND,2017,4.842913911,WB_WDI,P1Y,PU,Annual,Honduras,GDP growth (annual %)
ARM,2020,-7.199999999,WB_WDI,P1Y,PU,Annual,Armenia,GDP growth (annual %)
ABW,2020,-23.89798984,WB_WDI,P1Y,PU,Annual,Aruba,GDP growth (annual %)
AUS,2020,-0.133531904,WB_WDI,P1Y,PU,Annual,Australia,GDP growth (annual %)
AUT,2020,-6.318255092,WB_WDI,P1Y,PU,Annual,Austria,GDP growth (annual %)
AZE,2020,-4.198960653,WB_WDI,P1Y,PU,Annual,Azerbaijan,GDP growth (annual %)
BHS,2020,-20.08936649,WB_WDI,P1Y,PU,Annual,"Bahamas, The",GDP growth (annual %)
BHR,2020,-5.911362952,WB_WDI,P1Y,PU,Annual,Bahrain,GDP growth (annual %)
BGD,2020,3.448017551,WB_WDI,P1Y,PU,Annual,Bangladesh,GDP growth (annual %)
BRB,2020,-14.36471193,WB_WDI,P1Y,PU,Annual,Barbados,GDP growth (annual %)
BLR,2020,-0.672742919,WB_WDI,P1Y,PU,Annual,Belarus,GDP growth (annual %)
BEL,2020,-4.792983908,WB_WDI,P1Y,PU,Annual,Belgium,GDP growth (annual %)
BLZ,2020,-13.52289971,WB_WDI,P1Y,PU,Annual,Belize,GDP growth (annual %)
LMY,2005,7.368790972,WB_WDI,P1Y,PU,Annual,Low & middle income,GDP growth (annual %)
LIC,2005,6.041696529,WB_WDI,P1Y,PU,Annual,Low income,GDP growth (annual %)
LMC,2005,6.702478149,WB_WDI,P1Y,PU,Annual,Lower middle income,GDP growth (annual %)
MEA,2005,5.288409258,WB_WDI,P1Y,PU,Annual,"Middle East, North Africa, Afghanistan & Pakistan",GDP growth (annual %)
MNA,2005,4.950825035,WB_WDI,P1Y,PU,Annual,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",GDP growth (annual %)
TMN,2005,4.911102501,WB_WDI,P1Y,PU,Annual,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",GDP growth (annual %)
MIC,2005,7.393874015,WB_WDI,P1Y,PU,Annual,Middle income,GDP growth (annual %)
NAC,2005,3.461183013,WB_WDI,P1Y,PU,Annual,North America,GDP growth (annual %)
OED,2005,2.844769248,WB_WDI,P1Y,PU,Annual,OECD members,GDP growth (annual %)
OSS,2005,4.604152453,WB_WDI,P1Y,PU,Annual,Other small states,GDP growth (annual %)
PSS,2005,2.426682452,WB_WDI,P1Y,PU,Annual,Pacific island small states,GDP growth (annual %)
PST,2005,2.791485657,WB_WDI,P1Y,PU,Annual,Post-demographic dividend,GDP growth (annual %)
PRE,2005,5.969885232,WB_WDI,P1Y,PU,Annual,Pre-demographic dividend,GDP growth (annual %)
SST,2005,4.432518732,WB_WDI,P1Y,PU,Annual,Small states,GDP growth (annual %)
SAS,2005,7.644492218,WB_WDI,P1Y,PU,Annual,South Asia,GDP growth (annual %)
MYS,2012,5.473454193,WB_WDI,P1Y,PU,Annual,Malaysia,GDP growth (annual %)
MDV,2012,2.38928798,WB_WDI,P1Y,PU,Annual,Maldives,GDP growth (annual %)
MLI,2012,-1.072399241,WB_WDI,P1Y,PU,Annual,Mali,GDP growth (annual %)
MLT,2012,4.101673922,WB_WDI,P1Y,PU,Annual,Malta,GDP growth (annual %)
MHL,2012,-1.290684624,WB_WDI,P1Y,PU,Annual,Marshall Islands,GDP growth (annual %)
MRT,2012,4.470013192,WB_WDI,P1Y,PU,Annual,Mauritania,GDP growth (annual %)
MUS,2012,3.496118365,WB_WDI,P1Y,PU,Annual,Mauritius,GDP growth (annual %)
MEX,2012,3.55321076,WB_WDI,P1Y,PU,Annual,Mexico,GDP growth (annual %)
FSM,2012,-1.694220247,WB_WDI,P1Y,PU,Annual,"Micronesia, Fed. Sts.",GDP growth (annual %)
MDA,2012,-0.589733955,WB_WDI,P1Y,PU,Annual,Moldova,GDP growth (annual %)
MCO,2012,1.012218412,WB_WDI,P1Y,PU,Annual,Monaco,GDP growth (annual %)
TZA,2012,4.50015356,WB_WDI,P1Y,PU,Annual,Tanzania,GDP growth (annual %)
THA,2012,7.242796202,WB_WDI,P1Y,PU,Annual,Thailand,GDP growth (annual %)
TLS,2012,4.860621341,WB_WDI,P1Y,PU,Annual,Timor-Leste,GDP growth (annual %)
TGO,2012,6.302714269,WB_WDI,P1Y,PU,Annual,Togo,GDP growth (annual %)
TON,2012,0.919761025,WB_WDI,P1Y,PU,Annual,Tonga,GDP growth (annual %)
TTO,2012,6.710746254,WB_WDI,P1Y,PU,Annual,Trinidad and Tobago,GDP growth (annual %)
TUN,2012,4.216677115,WB_WDI,P1Y,PU,Annual,Tunisia,GDP growth (annual %)
TUR,2012,4.807626966,WB_WDI,P1Y,PU,Annual,Türkiye,GDP growth (annual %)
TKM,2012,11.09999996,WB_WDI,P1Y,PU,Annual,Turkmenistan,GDP growth (annual %)
TCA,2012,-2.666555621,WB_WDI,P1Y,PU,Annual,Turks and Caicos Islands,GDP growth (annual %)
TUV,2012,-2.127659574,WB_WDI,P1Y,PU,Annual,Tuvalu,GDP growth (annual %)
UGA,2012,3.837455606,WB_WDI,P1Y,PU,Annual,Uganda,GDP growth (annual %)
UKR,2012,0.152314967,WB_WDI,P1Y,PU,Annual,Ukraine,GDP growth (annual %)
PHL,2012,6.896951711,WB_WDI,P1Y,PU,Annual,Philippines,GDP growth (annual %)
POL,2012,1.511781676,WB_WDI,P1Y,PU,Annual,Poland,GDP growth (annual %)
PRT,2012,-4.050902676,WB_WDI,P1Y,PU,Annual,Portugal,GDP growth (annual %)
PRI,2012,0.02927515,WB_WDI,P1Y,PU,Annual,Puerto Rico,GDP growth (annual %)
QAT,2012,4.730085137,WB_WDI,P1Y,PU,Annual,Qatar,GDP growth (annual %)
ROU,2012,1.903616968,WB_WDI,P1Y,PU,Annual,Romania,GDP growth (annual %)
RUS,2012,4.024086157,WB_WDI,P1Y,PU,Annual,Russian Federation,GDP growth (annual %)
RWA,2012,8.641508158,WB_WDI,P1Y,PU,Annual,Rwanda,GDP growth (annual %)
WSM,2012,-3.732130209,WB_WDI,P1Y,PU,Annual,Samoa,GDP growth (annual %)
SMR,2012,-7.044534413,WB_WDI,P1Y,PU,Annual,San Marino,GDP growth (annual %)
STP,2012,2.942942774,WB_WDI,P1Y,PU,Annual,São Tomé and Príncipe,GDP growth (annual %)
SAU,2012,5.761573823,WB_WDI,P1Y,PU,Annual,Saudi Arabia,GDP growth (annual %)
BRA,2019,1.220777823,WB_WDI,P1Y,PU,Annual,Brazil,GDP growth (annual %)
BRN,2019,3.868844362,WB_WDI,P1Y,PU,Annual,Brunei Darussalam,GDP growth (annual %)
BGR,2019,3.793317654,WB_WDI,P1Y,PU,Annual,Bulgaria,GDP growth (annual %)
BFA,2019,5.889204971,WB_WDI,P1Y,PU,Annual,Burkina Faso,GDP growth (annual %)
BDI,2019,4.459342024,WB_WDI,P1Y,PU,Annual,Burundi,GDP growth (annual %)
CPV,2019,6.947826341,WB_WDI,P1Y,PU,Annual,Cabo Verde,GDP growth (annual %)
KHM,2019,7.936950136,WB_WDI,P1Y,PU,Annual,Cambodia,GDP growth (annual %)
CMR,2019,3.475059982,WB_WDI,P1Y,PU,Annual,Cameroon,GDP growth (annual %)
