REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
CSS,2019,0.87511782,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2019,4.032290638,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2019,2.269866656,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2019,4.042970182,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2019,5.885861018,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2019,5.885768053,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2019,1.62263181,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,2019,1.823378615,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
YEM,2011,-12.7148969,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2011,5.569252193,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2011,14.19391568,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2012,1.89717292,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2012,5.129702994,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2012,5.493754229,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2012,4.034856999,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2012,0.837956414,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2012,4.230325067,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2012,5.20891396,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2012,7.579148127,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2012,7.579090224,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2012,-0.920856756,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ZMB,2014,4.693283164,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2014,2.376985617,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2015,2.934029659,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2015,2.932863672,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2015,3.350803667,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2015,-0.100918344,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2015,4.001661791,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2015,4.242820224,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2015,4.71876408,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2015,6.661424659,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2015,6.661430075,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2015,2.143653674,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,2015,2.075934522,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ZMB,2012,7.597381049,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2012,16.66542904,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2013,4.356682497,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2013,6.046692131,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2013,2.647320609,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2013,1.375225714,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2013,0.667866778,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2013,4.030776774,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2013,5.278815865,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2013,7.317541824,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2013,7.317290253,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2013,-0.16672488,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,2013,0.864284116,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ECA,2013,6.517138854,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (excluding high income),GDP growth (annual %)
VUT,2002,-5.198318759,WB_WDI,P1Y,PU,Annual,Vanuatu,GDP growth (annual %)
VEN,2002,-8.855647353,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,2002,6.320820992,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
PSE,2002,-12.48838218,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2002,3.935231505,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2002,4.50601428,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2002,-8.894012858,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2003,3.009372493,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2003,5.626360648,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2003,4.295531684,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2003,6.099936472,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2003,3.996870924,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2003,4.977501255,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2003,4.991968295,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
VEN,2010,-1.488791251,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,2010,6.423244822,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
VIR,2010,0.596383224,WB_WDI,P1Y,PU,Annual,Virgin Islands (U.S.),GDP growth (annual %)
PSE,2010,5.777362056,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2010,7.701286075,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2010,10.29822332,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2010,19.6754077,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2011,4.077476966,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2011,4.922047024,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2011,3.853203588,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2011,0.886353025,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2011,3.600603636,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2011,4.952359812,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
VUT,2001,-3.397582489,WB_WDI,P1Y,PU,Annual,Vanuatu,GDP growth (annual %)
VEN,2001,3.394236108,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,2001,6.192893312,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
PSE,2001,-9.311081142,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2001,3.803645872,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2001,5.316868274,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2001,1.439517277,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2002,3.917113374,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2002,9.943307123,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2002,1.220748451,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
